Province,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Candidate/Candidat,Party,Candidate Residence/Résidence du candidat,Candidate Occupation/Profession du candidat,Votes Obtained/Votes obtenus,Percentage of Votes Obtained /Pourcentage des votes obtenus,Majority/Majorité,Majority Percentage/Pourcentage de majorité,Winner
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,10001,Ken McDonald Liberal/Libéral,Liberal,"Conception Bay South, N.L./ T.-N.-L.",Retired/Retraité,23528,55.9,16027,38.1,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,10001,Scott Andrews ** No Affiliation/Aucune appartenance,,"Conception Bay South, N.L./ T.-N.-L.",Parliamentarian/Parlementaire,7501,17.8,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,10001,Jeannie Baldwin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"St. John's, N.L./ T.-N.-L.",Union Officer/Dirigeante syndicale,6075,14.4,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,10001,Lorraine E. Barnett Conservative/Conservateur,Conservative,"Paradise, N.L./ T.-N.-L.",Director Regional Affairs/Directrice des affaires régionales,4670,11.1,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,10001,Krista Byrne-Puumala Green Party/Parti Vert,Green,"Conception Bay South, N.L./ T.-N.-L.",Environmental practitioner/Student/Business owner/Spécialiste de l'environnement/étudiant/Prop. ent.,228,.5,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Avalon,10001,Jennifer McCreath Forces et Démocratie - Allier les forces de nos régions/Forces et Démocratie - Allier les forces de nos régions,,"St. John's, N.L./ T.-N.-L.",Civil Servant/Fonctionnaire,84,.2,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Bonavista--Burin--Trinity,10002,Judy M. Foote ** Liberal/Libéral,Liberal,"St. John's, N.L./ T.-N.-L.",Parliamentarian/Parlementaire,28704,81.8,25170,71.7,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Bonavista--Burin--Trinity,10002,Mike Windsor Conservative/Conservateur,Conservative,"Paradise, N.L./ T.-N.-L.",Leadership Consultant/Consultant en direction,3534,10.1,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Bonavista--Burin--Trinity,10002,Jenn Brown NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"St. John's, N.L./ T.-N.-L.",Industry Liaison Officer/Agente de liaison de l'industrie,2557,7.3,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Bonavista--Burin--Trinity,10002,Tyler John Colbourne Green Party/Parti Vert,Green,"Dartmouth, N.S./ N.-É.",Tour Guide/Guide touristique,297,.8,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Coast of Bays--Central--Notre Dame,10003,Scott Simms ** Liberal/Libéral,Liberal,"Norris Arm, N.L./ T.-N.-L.",Parliamentarian/Parlementaire,26523,74.8,20044,56.5,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Coast of Bays--Central--Notre Dame,10003,Kevin George O'Brien Conservative/Conservateur,Conservative,"Gander, N.L./ T.-N.-L.",Retired/Retraité,6479,18.3,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Coast of Bays--Central--Notre Dame,10003,Claudette Menchenton NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Gander, N.L./ T.-N.-L.",Home Decor/Décoration de la maison,2175,6.1,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Coast of Bays--Central--Notre Dame,10003,Elizabeth Perry Green Party/Parti Vert,Green,"Halifax, N.S./ N.-É.",Educator/Éducatrice,271,.8,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Labrador,10004,Yvonne Jones ** Liberal/Libéral,Liberal,"Mary's Harbour, N.L./ T.-N.-L.",Parliamentarian/Parlementaire,8878,71.8,7099,57.4,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Labrador,10004,Edward Rudkowski NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Toronto, Ont.",Consultant/Consultant,1779,14.4,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Labrador,10004,Peter Penashue Conservative/Conservateur,Conservative,"Sheshatshiu, N.L./ T.-N.-L.",Business Person/Personnes d'affaires,1716,13.9,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Long Range Mountains,10005,Gudie Hutchings Liberal/Libéral,Liberal,"Corner Brook, N.L./ T.-N.-L.",Business Woman/Femmes d'affaires,30889,73.9,25804,61.7,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Long Range Mountains,10005,Wayne Ruth Conservative/Conservateur,Conservative,"Kippens, N.L./ T.-N.-L.",Retired/Retraité,5085,12.2,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Long Range Mountains,10005,Devon Babstock NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Rocky Harbour, N.L./ T.-N.-L.",School Administrator/Administrateur scolaire,4739,11.3,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,Long Range Mountains,10005,Terry Cormier Green Party/Parti Vert,Green,"Corner Brook, N.L./ T.-N.-L.",Retired Public Servant/Fonctionnaire retraité,1111,2.7,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's East/St. John's-Est,10006,Nick Whalen Liberal/Libéral,Liberal,"St. John's, N.L./ T.-N.-L.","Lawyer, Patent Agent, Trademark Agent /Avocat, Agent de brevets, Agent de marques de comm",20974,46.7,646,1.4,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's East/St. John's-Est,10006,Jack Harris ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"St. John's, N.L./ T.-N.-L.",Lawyer/Avocat,20328,45.3,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's East/St. John's-Est,10006,Deanne Stapleton Conservative/Conservateur,Conservative,"St. John's, N.L./ T.-N.-L.",Administrative Assistant/Adjointe administrative,2938,6.5,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's East/St. John's-Est,10006,David Anthony Peters Green Party/Parti Vert,Green,"St. John's, N.L./ T.-N.-L.",Telecommunications Analyst/Analyste de télécommunications,500,1.1,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's East/St. John's-Est,10006,Sean Burton Communist/Communiste,,"St. John's, N.L./ T.-N.-L.",Teacher/Enseignant,140,.3,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,10007,Seamus O'Regan Liberal/Libéral,Liberal,"St. John's, N.L./ T.-N.-L.",Consultant/Consultant,25922,57.9,9455,21.1,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,10007,Ryan Cleary ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"St. John's, N.L./ T.-N.-L.",Parliamentarian/Parlementaire,16467,36.8,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,10007,Marek Krol Conservative/Conservateur,Conservative,"St. John's, N.L./ T.-N.-L.",Self-employeed/Travailleur indépendant,2047,4.6,,,Liberal
Newfoundland and Labrador/Terre-Neuve-et-Labrador,St. John's South--Mount Pearl/St. John's-Sud--Mount Pearl,10007,Jackson McLean Green Party/Parti Vert,Green,"St. John's, N.L./ T.-N.-L.","Assistant Manager of The Seed Company by E.W. Gaze/Directeur adjoint, The Seed Company by E.W. Gaze",365,.8,,,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Cardigan,11001,Lawrence MacAulay ** Liberal/Libéral,Liberal,"St. Peters Bay, P.E.I./ Î.-P.-É.",Farmer/Agriculteur,14621,65,10989,48.9,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Cardigan,11001,Julius Patkai Conservative/Conservateur,Conservative,"Montague, P.E.I./ Î.-P.-É.",Management Consultant/Consultant en gestion,3632,16.2,,,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Cardigan,11001,Billy Cann NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Montague, P.E.I./ Î.-P.-É.",Business Owner/Propriétaire d'entreprise,2503,11.1,,,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Cardigan,11001,Teresa Doyle Green Party/Parti Vert,Green,"Belfast, P.E.I./ Î.-P.-É.",Musician/Musicienne,1434,6.4,,,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Cardigan,11001,Christene Squires Christian Heritage Party/Parti de l'Héritage Chrétien,,"Murray River, P.E.I./ Î.-P.-É.",Unemployed/Sans emploi,295,1.3,,,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Charlottetown,11002,Sean Casey ** Liberal/Libéral,Liberal,"Charlottetown, P.E.I./ Î.-P.-É.",Lawyer/Avocat,11910,56.3,7013,33.1,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Charlottetown,11002,Joe Byrne NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Charlottetown, P.E.I./ Î.-P.-É.",Community Organizer/Organisateur communautaire,4897,23.1,,,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Charlottetown,11002,Ron MacMillan Conservative/Conservateur,Conservative,"Charlottetown, P.E.I./ Î.-P.-É.",Lawyer/Avocat,3136,14.8,,,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Charlottetown,11002,Becka Viau Green Party/Parti Vert,Green,"Charlottetown, P.E.I./ Î.-P.-É.",Artist/Artiste,1222,5.8,,,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Egmont,11003,Bobby Morrissey Liberal/Libéral,Liberal,"Tignish, P.E.I./ Î.-P.-É.",Businessman/Homme d'affaires,10521,49.3,4336,20.3,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Egmont,11003,Gail Shea ** Conservative/Conservateur,Conservative,"Tignish, P.E.I./ Î.-P.-É.",Parliamentarian/Parlementaire,6185,29,,,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Egmont,11003,Herb Dickieson NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Howlan, P.E.I./ Î.-P.-É.",Family Physician/Médecin de famille,4097,19.2,,,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Egmont,11003,Nils Ling Green Party/Parti Vert,Green,"Breadalbane, P.E.I./ Î.-P.-É.",Writer/Écrivain,559,2.6,,,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Malpeque,11004,Wayne Easter ** Liberal/Libéral,Liberal,"North Wiltshire, P.E.I./ Î.-P.-É.",Farmer/Parliamentarian/Agriculteur-Parlementaire,13950,62.1,10003,44.5,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Malpeque,11004,Stephen Stewart Conservative/Conservateur,Conservative,"Kensington, P.E.I./ Î.-P.-É.",Business Owner/Propriétaire d'entreprise,3947,17.6,,,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Malpeque,11004,Leah-Jane Hayward NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"North Wiltshire, P.E.I./ Î.-P.-É.",Tour Guide/Guide touristique,2509,11.2,,,Liberal
Prince Edward Island/Île-du-Prince-Édouard,Malpeque,11004,Lynne Lund Green Party/Parti Vert,Green,"Clinton, P.E.I./ Î.-P.-É.",Business Owner/Propriétaire d'entreprise,2066,9.2,,,Liberal
Nova Scotia/Nouvelle-Écosse,Cape Breton--Canso,12001,Rodger Cuzner ** Liberal/Libéral,Liberal,"Glace Bay, N.S./ N.-É.",Parliamentarian/Parlementaire,32163,74.4,25917,59.9,Liberal
Nova Scotia/Nouvelle-Écosse,Cape Breton--Canso,12001,Adam Daniel Rodgers Conservative/Conservateur,Conservative,"Boylston, N.S./ N.-É.",Lawyer/Avocat,6246,14.4,,,Liberal
Nova Scotia/Nouvelle-Écosse,Cape Breton--Canso,12001,Michelle Smith NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Whycocomagh, N.S./ N.-É.",Farmer/Agricultrice,3547,8.2,,,Liberal
Nova Scotia/Nouvelle-Écosse,Cape Breton--Canso,12001,Maria Goretti Coady Green Party/Parti Vert,Green,"North East Margaree, N.S./ N.-É.",Nurse/Infirmière,1281,3,,,Liberal
Nova Scotia/Nouvelle-Écosse,Central Nova/Nova-Centre,12002,Sean Fraser Liberal/Libéral,Liberal,"Merigomish, N.S./ N.-É.",Barrister and Solicitor/Avocat,25909,58.5,14491,32.7,Liberal
Nova Scotia/Nouvelle-Écosse,Central Nova/Nova-Centre,12002,Fred DeLorey Conservative/Conservateur,Conservative,"Embrun, Ont.",Political Advisor/Conseiller politique,11418,25.8,,,Liberal
Nova Scotia/Nouvelle-Écosse,Central Nova/Nova-Centre,12002,Ross Landry NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Pictou, N.S./ N.-É.",Retired/Retraité,4532,10.2,,,Liberal
Nova Scotia/Nouvelle-Écosse,Central Nova/Nova-Centre,12002,David Hachey Green Party/Parti Vert,Green,"Scotsburn, N.S./ N.-É.",Farmer/Agriculteur,1834,4.1,,,Liberal
Nova Scotia/Nouvelle-Écosse,Central Nova/Nova-Centre,12002,Alexander J. MacKenzie Independent/Indépendant,,"Pictou Landing, N.S./ N.-É.",Self-employed/Travailleur indépendant,570,1.3,,,Liberal
Nova Scotia/Nouvelle-Écosse,Cumberland--Colchester,12003,Bill Casey Liberal/Libéral,Liberal,"Amherst, N.S./ N.-É.",Retired/Retraité,29527,63.7,17270,37.3,Liberal
Nova Scotia/Nouvelle-Écosse,Cumberland--Colchester,12003,Scott Armstrong ** Conservative/Conservateur,Conservative,"Brookfield, N.S./ N.-É.",Educator/Éducateur,12257,26.5,,,Liberal
Nova Scotia/Nouvelle-Écosse,Cumberland--Colchester,12003,Wendy Robinson NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Stewiacke, N.S./ N.-É.",Municipal Politician/Politicienne municipale,2647,5.7,,,Liberal
Nova Scotia/Nouvelle-Écosse,Cumberland--Colchester,12003,Jason Matthew Blanch Green Party/Parti Vert,Green,"Amherst, N.S./ N.-É.",Counsellor/Conseiller,1650,3.6,,,Liberal
Nova Scotia/Nouvelle-Écosse,Cumberland--Colchester,12003,Kenneth Jackson Independent/Indépendant,,"Amherst, N.S./ N.-É.",Self-employed/Travailleur indépendant,181,.4,,,Liberal
Nova Scotia/Nouvelle-Écosse,Cumberland--Colchester,12003,Richard Trueman Plett Independent/Indépendant,,"Amherst, N.S./ N.-É.",Self-employed/Travailleur indépendant,70,.2,,,Liberal
Nova Scotia/Nouvelle-Écosse,Dartmouth--Cole Harbour,12004,Darren Fisher Liberal/Libéral,Liberal,"Dartmouth, N.S./ N.-É.",Municipal Councillor/Conseiller municipal,30407,58.2,17650,33.8,Liberal
Nova Scotia/Nouvelle-Écosse,Dartmouth--Cole Harbour,12004,Robert Chisholm ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Porters Lake, N.S./ N.-É.",Parliamentarian/Parlementaire,12757,24.4,,,Liberal
Nova Scotia/Nouvelle-Écosse,Dartmouth--Cole Harbour,12004,Jason Cole Conservative/Conservateur,Conservative,"Dartmouth, N.S./ N.-É.",Clergy/Membre du clergé,7331,14,,,Liberal
Nova Scotia/Nouvelle-Écosse,Dartmouth--Cole Harbour,12004,Brynn Nheiley Green Party/Parti Vert,Green,"Halifax, N.S./ N.-É.",Urban planner/Urbaniste,1775,3.4,,,Liberal
Nova Scotia/Nouvelle-Écosse,Halifax,12005,Andy Fillmore Liberal/Libéral,Liberal,"Halifax, N.S./ N.-É.",City Planner/Urbaniste,27431,51.7,8269,15.6,Liberal
Nova Scotia/Nouvelle-Écosse,Halifax,12005,Megan Leslie ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Halifax, N.S./ N.-É.",Parliamentarian/Parlementaire,19162,36.1,,,Liberal
Nova Scotia/Nouvelle-Écosse,Halifax,12005,Irvine Carvery Conservative/Conservateur,Conservative,"Halifax, N.S./ N.-É.",Retired/Retraité,4564,8.6,,,Liberal
Nova Scotia/Nouvelle-Écosse,Halifax,12005,Thomas Trappenberg Green Party/Parti Vert,Green,"Hatchet Lake, N.S./ N.-É.",Professor/Professeur,1745,3.3,,,Liberal
Nova Scotia/Nouvelle-Écosse,Halifax,12005,Allan Bezanson Marxist-Leninist/Marxiste-Léniniste,,"Halifax, N.S./ N.-É.",Retired/Rétraité,130,.2,,,Liberal
Nova Scotia/Nouvelle-Écosse,Halifax West/Halifax-Ouest,12006,Geoff Regan ** Liberal/Libéral,Liberal,"Bedford, N.S./ N.-É.",Parliamentarian/Parlementaire,34377,68.6,26540,53.0,Liberal
Nova Scotia/Nouvelle-Écosse,Halifax West/Halifax-Ouest,12006,Michael McGinnis Conservative/Conservateur,Conservative,"Halifax, N.S./ N.-É.",Site supervisor/Surveillant du chantier,7837,15.6,,,Liberal
Nova Scotia/Nouvelle-Écosse,Halifax West/Halifax-Ouest,12006,Joanne Hussey NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Halifax, N.S./ N.-É.",Research Consultant/Conseillère en recherche,5894,11.8,,,Liberal
Nova Scotia/Nouvelle-Écosse,Halifax West/Halifax-Ouest,12006,Richard Henryk Zurawski Green Party/Parti Vert,Green,"Halifax, N.S./ N.-É.",Lecturer/Conférencier,1971,3.9,,,Liberal
Nova Scotia/Nouvelle-Écosse,Kings--Hants,12007,Scott Brison ** Liberal/Libéral,Liberal,"Cheverie, N.S./ N.-É.",Parliamentarian/Parlementaire,33026,70.7,24349,52.2,Liberal
Nova Scotia/Nouvelle-Écosse,Kings--Hants,12007,David Morse Conservative/Conservateur,Conservative,"New Minas, N.S./ N.-É.",Retired/Retraité,8677,18.6,,,Liberal
Nova Scotia/Nouvelle-Écosse,Kings--Hants,12007,Hugh Curry NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"White Rock, N.S./ N.-É.",Vintner's Assistant/Assistant Vigneron,2998,6.4,,,Liberal
Nova Scotia/Nouvelle-Écosse,Kings--Hants,12007,Will Cooper Green Party/Parti Vert,Green,"Wolfville, N.S./ N.-É.",Artist/Artiste,1569,3.4,,,Liberal
Nova Scotia/Nouvelle-Écosse,Kings--Hants,12007,Megan Brown-Hodges Rhinoceros/Rhinocéros,,"Canning, N.S./ N.-É.",Stay-at-home Mother/Mère de famille,184,.4,,,Liberal
Nova Scotia/Nouvelle-Écosse,Kings--Hants,12007,Edd Twohig Independent/Indépendant,,"Kentville, N.S./ N.-É.",Retired Chartered Accountant/Comptable agréé retraité,132,.3,,,Liberal
Nova Scotia/Nouvelle-Écosse,Kings--Hants,12007,Clifford James Williams Independent/Indépendant,,"Hantsport, N.S./ N.-É.",Sales Account Manager/Gestionnaire des comptes des ventes,100,.2,,,Liberal
Nova Scotia/Nouvelle-Écosse,Sackville--Preston--Chezzetcook,12008,Darrell Samson Liberal/Libéral,Liberal,"Fall River, N.S./ N.-É.",Supt. of Schools/Surintendant des écoles,23161,48,6548,13.6,Liberal
Nova Scotia/Nouvelle-Écosse,Sackville--Preston--Chezzetcook,12008,Peter Stoffer ** NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Fall River, N.S./ N.-É.",Parliamentarian/Parlementaire,16613,34.4,,,Liberal
Nova Scotia/Nouvelle-Écosse,Sackville--Preston--Chezzetcook,12008,Robert Thomas Strickland Conservative/Conservateur,Conservative,"Beaver Bank, N.S./ N.-É.",Software Consultant/Consultant de logiciels,7186,14.9,,,Liberal
Nova Scotia/Nouvelle-Écosse,Sackville--Preston--Chezzetcook,12008,Mike Montgomery Green Party/Parti Vert,Green,"Lower Sackville, N.S./ N.-É.",Security Manager/Directeur de la sécurité,1341,2.8,,,Liberal
Nova Scotia/Nouvelle-Écosse,South Shore--St. Margarets,12009,Bernadette Jordan Liberal/Libéral,Liberal,"LaHave, N.S./ N.-É.",Development Officer/Agente de développement,30045,56.9,18140,34.4,Liberal
Nova Scotia/Nouvelle-Écosse,South Shore--St. Margarets,12009,Richard Clark Conservative/Conservateur,Conservative,"Barrington Passage, N.S./ N.-É.",Policy Director/Directeur de la politique,11905,22.6,,,Liberal
Nova Scotia/Nouvelle-Écosse,South Shore--St. Margarets,12009,Alex Godbold NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"New Germany, N.S./ N.-É.",Teacher/Enseignant,8883,16.8,,,Liberal
Nova Scotia/Nouvelle-Écosse,South Shore--St. Margarets,12009,Richard Biggar Green Party/Parti Vert,Green,"Hubbards, N.S./ N.-É.",Correctional officer/Agent correctionnel,1534,2.9,,,Liberal
Nova Scotia/Nouvelle-Écosse,South Shore--St. Margarets,12009,Trevor Bruhm Independent/Indépendant,,"Pleasantville, N.S./ N.-É.",Insulator Mechanic/Mécanicien des isolateurs,257,.5,,,Liberal
Nova Scotia/Nouvelle-Écosse,South Shore--St. Margarets,12009,Ryan Barry Communist/Communiste,,"North River, N.S./ N.-É.",Residential Rehabilitation Worker/Agent de remise en état des logements,151,.3,,,Liberal
Nova Scotia/Nouvelle-Écosse,Sydney--Victoria,12010,Mark Eyking ** Liberal/Libéral,Liberal,"Big Bras d'Or, N.S./ N.-É.",Farmer/Agriculteur,29995,73.2,24644,60.1,Liberal
Nova Scotia/Nouvelle-Écosse,Sydney--Victoria,12010,Monika Dutt NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Sydney, N.S./ N.-É.",Physician/Médecin,5351,13.1,,,Liberal
Nova Scotia/Nouvelle-Écosse,Sydney--Victoria,12010,John Douglas Chiasson Conservative/Conservateur,Conservative,"Ottawa, Ont.",Ministerial Staffer/Membre du personnel ministériel,4360,10.6,,,Liberal
Nova Scotia/Nouvelle-Écosse,Sydney--Victoria,12010,Adrianna MacKinnon Green Party/Parti Vert,Green,"Membertou, N.S./ N.-É.",Teacher/Enseignante,1026,2.5,,,Liberal
Nova Scotia/Nouvelle-Écosse,Sydney--Victoria,12010,Wayne James Hiscock Libertarian/Libertarien,,"Balls Creek, N.S./ N.-É.",Geomatics Engineering technologist /Technologue en génie géomatique,242,.6,,,Liberal
Nova Scotia/Nouvelle-Écosse,West Nova/Nova-Ouest,12011,Colin Fraser Liberal/Libéral,Liberal,"Summerville, N.S./ N.-É.",Lawyer/Avocat,28775,63,16859,36.9,Liberal
Nova Scotia/Nouvelle-Écosse,West Nova/Nova-Ouest,12011,Arnold LeBlanc Conservative/Conservateur,Conservative,"Digby, N.S./ N.-É.",Executive Regional Assistant to Parliamentarian/Adjoint exécutif régional d'un parlementaire,11916,26.1,,,Liberal
Nova Scotia/Nouvelle-Écosse,West Nova/Nova-Ouest,12011,Greg Foster NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Tusket, N.S./ N.-É.",Teacher/Enseignant,3084,6.8,,,Liberal
Nova Scotia/Nouvelle-Écosse,West Nova/Nova-Ouest,12011,Clark Walton Green Party/Parti Vert,Green,"Paradise, N.S./ N.-É.",Retired Military/Militaire retraité,1904,4.2,,,Liberal
New Brunswick/Nouveau-Brunswick,Acadie--Bathurst,13001,Serge Cormier Liberal/Libéral,Liberal,"Caraquet, N.B./ N.-B.",Public Servant/Fonctionnaire,25845,50.7,5766,11.3,Liberal
New Brunswick/Nouveau-Brunswick,Acadie--Bathurst,13001,Jason Godin NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Maisonnette, N.B./ N.-B.",Student/Étudiant,20079,39.4,,,Liberal
New Brunswick/Nouveau-Brunswick,Acadie--Bathurst,13001,Riba Girouard-Riordon Conservative/Conservateur,Conservative,"Pokeshaw, N.B./ N.-B.",Retired professor/Professeuse a la retaite,3852,7.6,,,Liberal
New Brunswick/Nouveau-Brunswick,Acadie--Bathurst,13001,Dominique Breau Green Party/Parti Vert,Green,"Pont-Landry, N.B./ N.-B.",Artist/Artiste,1187,2.3,,,Liberal
New Brunswick/Nouveau-Brunswick,Beauséjour,13002,Dominic LeBlanc ** Liberal/Libéral,Liberal,"Grande-Digue, N.B./ N.-B.",Parliamentarian/Parlementaire,36534,69,28525,53.9,Liberal
New Brunswick/Nouveau-Brunswick,Beauséjour,13002,Hélène Boudreau NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Sackville, N.B./ N.-B.",Registered Nurse/Infirmière autorisée,8009,15.1,,,Liberal
New Brunswick/Nouveau-Brunswick,Beauséjour,13002,Ann Bastarache Conservative/Conservateur,Conservative,"Haut-Saint-Antoine, N.B./ N.-B.",Realtor/Agente d'immeuble,6017,11.4,,,Liberal
New Brunswick/Nouveau-Brunswick,Beauséjour,13002,Kevin King Green Party/Parti Vert,Green,"Ammon, N.B./ N.-B.",Engineering Technologist/Ingénieur technologue,2376,4.5,,,Liberal
New Brunswick/Nouveau-Brunswick,Fredericton,13003,Matt DeCourcey Liberal/Libéral,Liberal,"Fredericton, N.B./ N.-B.",Public Servant/Fonctionnaire,23016,49.3,9736,20.8,Liberal
New Brunswick/Nouveau-Brunswick,Fredericton,13003,Keith Ashfield ** Conservative/Conservateur,Conservative,"Lincoln, N.B./ N.-B.",Parliamentarian/Parlementaire,13280,28.4,,,Liberal
New Brunswick/Nouveau-Brunswick,Fredericton,13003,Mary Lou Babineau Green Party/Parti Vert,Green,"Fredericton, N.B./ N.-B.",Professor/Professeur,5804,12.4,,,Liberal
New Brunswick/Nouveau-Brunswick,Fredericton,13003,Sharon Scott-Levesque NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Durham Bridge, N.B./ N.-B.",Nurse/Infirmière,4622,9.9,,,Liberal
New Brunswick/Nouveau-Brunswick,Fundy Royal,13004,Alaina Lockhart Liberal/Libéral,Liberal,"Sussex, N.B./ N.-B.",Business Owner/Propriétaire d'entreprise,19136,40.9,1775,3.8,Liberal
New Brunswick/Nouveau-Brunswick,Fundy Royal,13004,Rob Moore ** Conservative/Conservateur,Conservative,"Quispamsis, N.B./ N.-B.",Parliamentarian/Parlementaire,17361,37.1,,,Liberal
New Brunswick/Nouveau-Brunswick,Fundy Royal,13004,Jennifer McKenzie NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Bay View, N.B./ N.-B.",Engineer/Ingénieur,8204,17.5,,,Liberal
New Brunswick/Nouveau-Brunswick,Fundy Royal,13004,Stephanie Coburn Green Party/Parti Vert,Green,"Head of Millstream, N.B./ N.-B.",Retired/Retraité,1823,3.9,,,Liberal
New Brunswick/Nouveau-Brunswick,Fundy Royal,13004,David Raymond Amos Independent/Indépendant,,not available/non disponible,Mechanic/Mécanicien,296,.6,,,Liberal
New Brunswick/Nouveau-Brunswick,Madawaska--Restigouche,13005,René Arseneault Liberal/Libéral,Liberal,"Balmoral, N.B./ N.-B.",Lawyer/Avocat,20778,55.7,11108,29.8,Liberal
New Brunswick/Nouveau-Brunswick,Madawaska--Restigouche,13005,Rosaire L'Italien NDP-New Democratic Party/NPD-Nouveau Parti démocratique,NDP,"Moncton, N.B./ N.-B.",Retired/Retraité,9670,25.9,,,Liberal
New Brunswick/Nouveau-Brunswick,Madawaska--Restigouche,13005,Bernard Valcourt ** Conservative/Conservateur,Conservative,"Edmundston, N.B./ N.-B.",Lawyer/Avocat,6151,16.5,,,Liberal
New Brunswick/Nouveau-Brunswick,Madawaska--Restigouche,13005,Françoise Aubin Green Party/Parti Vert,Green,"Moncton, N.B./ N.-B.",Student/Étudiante,707,1.9,,,Liberal
